Cond,SNR_dB,Precision,Recall,F1
clean,Inf,1,0.746666666666667,0.854961832061069
10dB,10,1,0.766666666666667,0.867924528301887
5dB,5,1,0.82,0.901098901098901
0dB,0,1,0.95,0.974358974358974
-5dB,-5,0.813813813813814,0.903333333333333,0.856240126382306
